leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,simple_cost,simple_MC_std,simple_solve_time_s,shortrate
2,5.0,10,true,0.2,32,1,1252.4885126630645,24.997247864746488,0.0021708342,0.002257224822374979
2,5.0,10,true,0.2,32,2,1832.9142436489014,61.86262354870222,0.0019058486,0.0029443487165113735
2,5.0,10,true,0.2,32,3,2369.6265719327503,83.31123474706921,0.0017369878,0.010798230024562525
2,5.0,10,true,0.2,32,4,1824.9849305221624,54.79894632381554,0.001760111,0.005102263384820955
2,5.0,10,true,0.2,32,5,1869.9015804632895,53.58261747099499,0.0020276607000000004,0.00556035793112148
2,5.0,10,true,0.2,32,6,1858.1096981637254,55.17347892586996,0.0017060986,0.0068329782121353015
2,5.0,10,true,0.2,32,7,1754.7650626733312,54.80707006265809,0.0021395869,0.0016976563165351682
2,5.0,10,true,0.2,32,8,1964.4606533055787,68.82477147038543,0.0018457132999999998,0.011555343257297896
4,5.0,10,true,0.2,32,1,1375.0785796494702,37.202636338286254,0.0019654731,0.003052593696818505
4,5.0,10,true,0.2,32,2,1974.178827901096,92.0137557865289,0.0023236598000000003,0.004297989466824943
4,5.0,10,true,0.2,32,3,2640.5345719834736,121.2449143745287,0.0018944776,0.018155168335385066
4,5.0,10,true,0.2,32,4,1977.2430691860043,87.5173998079165,0.0023201411,0.007610994027271321
4,5.0,10,true,0.2,32,5,2028.8289780175874,83.92920843150875,0.0021350148,0.009798321067173538
4,5.0,10,true,0.2,32,6,2061.0470175944715,86.3506036352143,0.0021241677,0.015107219914027276
4,5.0,10,true,0.2,32,7,1917.59748608835,82.93613751931385,0.0022888906000000002,0.002560857312382077
4,5.0,10,true,0.2,32,8,2186.8084507210106,101.79370909672589,0.0018174868,0.020718142350427918
8,5.0,10,true,0.2,32,1,1833.069222076929,67.18053118018597,0.0022219877999999998,0.004276292891072226
8,5.0,10,true,0.2,32,2,2320.9283366244963,153.3951005328656,0.0018889777999999999,0.0059979867817834785
8,5.0,10,true,0.2,32,3,3258.696334689058,202.70521988331186,0.0019543802,0.030884986633651235
8,5.0,10,true,0.2,32,4,2383.657006284187,146.23033777394656,0.0022024623,0.01492649900526633
8,5.0,10,true,0.2,32,5,2481.005032687059,148.90912141537072,0.001865864,0.02388523497452457
8,5.0,10,true,0.2,32,6,2679.282070985752,156.77650089089514,0.0022701004,0.03368701694305337
8,5.0,10,true,0.2,32,7,2391.5353490682764,145.42402014218544,0.0020123646,0.003417996117480019
8,5.0,10,true,0.2,32,8,2733.995763080317,165.78035745677673,0.002218285,0.036566762993929296
2,10.0,10,true,0.2,32,1,1316.213587593266,26.007610649870983,0.0021595674,0.0009943996924950966
2,10.0,10,true,0.2,32,2,1962.439188888211,59.28885193061779,0.0018079244000000002,0.0017956890715370437
2,10.0,10,true,0.2,32,3,2599.379414893035,94.97028775070349,0.0022540572,0.008242638328473826
2,10.0,10,true,0.2,32,4,1957.0098709558092,60.37999635237527,0.0018460703,0.003156188322667149
2,10.0,10,true,0.2,32,5,2003.9756069342234,58.06701130541232,0.0020588831999999997,0.003584612964937664
2,10.0,10,true,0.2,32,6,2000.8379802153245,65.92158373584236,0.0021285299000000004,0.005014383530784646
2,10.0,10,true,0.2,32,7,1864.4280429782307,52.48957230287653,0.0018846827,0.0007019073926333003
2,10.0,10,true,0.2,32,8,2152.398231009556,79.79351885905791,0.0024568743,0.009822312432551395
4,10.0,10,true,0.2,32,1,1452.6673252537794,38.78434229773364,0.0019981214,0.0015027167513604952
4,10.0,10,true,0.2,32,2,2140.5963481241765,97.60815687623196,0.0022381557999999998,0.0026911805875671773
4,10.0,10,true,0.2,32,3,2960.1358870665504,143.86785920093288,0.0023520462,0.0149517504190112
4,10.0,10,true,0.2,32,4,2145.687193534939,92.27529192879652,0.0018943226,0.005763219841513419
4,10.0,10,true,0.2,32,5,2205.4795205681576,92.58617151257938,0.0023302751,0.007695425425413539
4,10.0,10,true,0.2,32,6,2264.021719494639,100.72506880243499,0.0019006894,0.012281726854512948
4,10.0,10,true,0.2,32,7,2044.6987137395624,84.35511953079211,0.0021498846,0.0011992976776286745
4,10.0,10,true,0.2,32,8,2455.5977503057115,117.03628352485046,0.0021406856,0.018688152220318912
8,10.0,10,true,0.2,32,1,1926.4365830422491,72.31735401549965,0.0019737586,0.0019661441625140916
8,10.0,10,true,0.2,32,2,2532.9435211999107,160.55527380078536,0.061237467600000005,0.0035113045836074326
8,10.0,10,true,0.2,32,3,3740.7829060495296,234.98906139103855,0.0009539415,0.028125124844172792
8,10.0,10,true,0.2,32,4,2632.1794258820087,163.0495833035135,0.0009607696,0.01289533908197312
8,10.0,10,true,0.2,32,5,2775.7111415421687,170.36491631695662,0.000962677,0.021186933247965424
8,10.0,10,true,0.2,32,6,3060.572742893204,182.0276390312848,0.0009678814,0.031818900724220445
8,10.0,10,true,0.2,32,7,2559.933702127769,145.41784448572747,0.0009687391,0.0017154198431204002
8,10.0,10,true,0.2,32,8,3141.829409144535,188.65602461285576,0.0010288558999999998,0.03420163413573885
2,5.0,20,true,0.2,32,1,1684.7661897001406,29.270899019258117,0.0009845242,0.001305907973869267
2,5.0,20,true,0.2,32,2,2484.7210086171963,49.49897752832422,0.000972528,0.003143949106294862
2,5.0,20,true,0.2,32,3,3245.4312495742647,90.04266074780512,0.0009697902000000001,0.007534099024466872
2,5.0,20,true,0.2,32,4,2455.926419169798,61.409031601745,0.0009707189000000001,0.0030995346959283403
2,5.0,20,true,0.2,32,5,2448.7837128369074,64.1437816534043,0.0009701852,0.003890389854929552
2,5.0,20,true,0.2,32,6,2460.4437344728326,60.29664656445217,0.0009757098,0.00500971705226155
2,5.0,20,true,0.2,32,7,2326.1830111006743,46.547088081017684,0.0009987456,0.001980133266039875
2,5.0,20,true,0.2,32,8,2678.7744670337574,62.31714999234599,0.0009703466,0.010303806515697305
4,5.0,20,true,0.2,32,1,1793.0259861018699,38.48977870953748,0.0010044949000000002,0.001972835910305231
4,5.0,20,true,0.2,32,2,2612.8131258377007,72.39977869486613,0.0009731912000000001,0.005011059964442869
4,5.0,20,true,0.2,32,3,3505.8579761108695,135.30593446179137,0.0009664219,0.01474160682289134
4,5.0,20,true,0.2,32,4,2600.59790649695,94.48419324264374,0.0009619429,0.005867527844246006
4,5.0,20,true,0.2,32,5,2595.774760370605,92.87273530879584,0.0009722188,0.008310146068407078
4,5.0,20,true,0.2,32,6,2626.5932117330776,86.2019935568807,0.0009646216,0.013160410919800667
4,5.0,20,true,0.2,32,7,2475.5350485551417,71.92820438190867,0.0009673332999999999,0.002833144732578214
4,5.0,20,true,0.2,32,8,2893.0917381220384,96.61362026399908,0.0009636015,0.019216812130726867
8,5.0,20,true,0.2,32,1,2218.0411193763375,71.23275644329352,0.0009953674,0.002942098868603719
8,5.0,20,true,0.2,32,2,2959.3846270406575,127.10781588760713,0.0009843639,0.006383009063906317
8,5.0,20,true,0.2,32,3,4077.9759860824015,222.38919847521328,0.0009798133,0.02863552707730246
8,5.0,20,true,0.2,32,4,2991.632965816166,159.1794072884479,0.0009814457,0.013472120268344226
8,5.0,20,true,0.2,32,5,3066.9671845699067,152.8788036523617,0.0009841542,0.022226325981720117
8,5.0,20,true,0.2,32,6,3193.721608578337,161.2866885801739,0.0009964944999999998,0.032192997650159476
8,5.0,20,true,0.2,32,7,2946.5614827185923,125.91650005638395,0.0009843837,0.003801029546344949
8,5.0,20,true,0.2,32,8,3383.295473440969,153.50723358717974,0.0009821245,0.03633951514508796
2,10.0,20,true,0.2,32,1,1747.86566517412,28.14402801657669,0.0009963294,0.0004979538144410886
2,10.0,20,true,0.2,32,2,2624.365203743016,55.21187141826195,0.0009833786,0.0021792094834369295
2,10.0,20,true,0.2,32,3,3488.290064111999,96.31662455226893,0.0009824868,0.006831038212302209
2,10.0,20,true,0.2,32,4,2589.1144534629366,65.53219841248212,0.0009751935,0.0021944478970434204
2,10.0,20,true,0.2,32,5,2580.3758273573308,69.22255402774353,0.0009753351000000001,0.0030415489906720915
2,10.0,20,true,0.2,32,6,2598.5311739225035,67.77480551697431,0.0009728375999999999,0.004298239969405304
2,10.0,20,true,0.2,32,7,2438.557831613907,49.843292047151664,0.0009714298000000001,0.0008619658571587511
2,10.0,20,true,0.2,32,8,2864.2943606295335,74.52939288802847,0.0009666287999999999,0.009161815723018635
4,10.0,20,true,0.2,32,1,1873.8135371448648,40.89079448341944,0.0009736554,0.000849327465434771
4,10.0,20,true,0.2,32,2,2784.059931834628,78.76399372105925,0.0009675284,0.003048488618171268
4,10.0,20,true,0.2,32,3,3843.661535866128,150.29979490899544,0.0009665041,0.013587595118952293
4,10.0,20,true,0.2,32,4,2764.619038965077,99.97598106834981,0.0009644785,0.004468493919431677
4,10.0,20,true,0.2,32,5,2788.3633134418637,105.35273983119889,0.0009646313,0.006897452564253582
4,10.0,20,true,0.2,32,6,2838.39735266125,105.96924805803405,0.0009682015000000001,0.011570242290605758
4,10.0,20,true,0.2,32,7,2614.215117587804,75.62175808126668,0.0009712396,0.0013429629492519395
4,10.0,20,true,0.2,32,8,3162.7318921255023,107.43040772246884,0.0009652054,0.01817077484725054
8,10.0,20,true,0.2,32,1,2317.61372681858,73.81764531887171,0.000992427,0.0012712476787331466
8,10.0,20,true,0.2,32,2,3154.6342286085624,135.14291280883194,0.0009863569,0.004065442704256344
8,10.0,20,true,0.2,32,3,4567.9872253388885,232.51716524037724,0.0009845998000000001,0.02707091317346643
8,10.0,20,true,0.2,32,4,3229.036685390184,168.5728818135606,0.0009801064,0.011190718941245518
8,10.0,20,true,0.2,32,5,3358.9680942989417,170.44479067163198,0.0009758404000000001,0.020711164481751695
8,10.0,20,true,0.2,32,6,3539.827989527625,179.08621879315731,0.0009812672,0.03050678158789574
8,10.0,20,true,0.2,32,7,3117.75936161156,127.85046410377456,0.0010111597000000002,0.0017224233766469977
8,10.0,20,true,0.2,32,8,3791.3611509258194,166.75165130869271,0.0009796508000000002,0.03450526008600256
2,5.0,30,true,0.2,32,1,1987.1967969534815,33.28194265664958,0.0010031369,0.0011897109148664479
2,5.0,30,true,0.2,32,2,2906.7435409818827,63.683521653284195,0.000992077,0.002570029046674149
2,5.0,30,true,0.2,32,3,3770.6078013383135,72.70965250849169,0.0009809173,0.008557689583248483
2,5.0,30,true,0.2,32,4,2921.9869036846912,55.25474866278136,0.0009740866,0.0032875120564716896
2,5.0,30,true,0.2,32,5,2938.8161902007714,56.28520329479848,0.0009747810999999999,0.0035380476115704053
2,5.0,30,true,0.2,32,6,2957.8050339670312,61.02855772893815,0.0009990738000000001,0.004996719004326632
2,5.0,30,true,0.2,32,7,2739.2569177729783,55.63743192386909,0.0009667529000000001,0.0014553316691844245
2,5.0,30,true,0.2,32,8,3100.03429393132,65.25502141037674,0.0009704488,0.01030338506897202
4,5.0,30,true,0.2,32,1,2086.9111543085487,43.39879614609911,0.0009835584,0.001951464206718139
4,5.0,30,true,0.2,32,2,3043.7011371435983,92.80768640203596,0.0009733199,0.0035998469904415286
4,5.0,30,true,0.2,32,3,4027.0879611070627,115.20608000820671,0.0009745571,0.01619622294232263
4,5.0,30,true,0.2,32,4,3046.116046428874,80.02823612832049,0.0009745549,0.006092147928380025
4,5.0,30,true,0.2,32,5,3085.242918434804,89.65964375741635,0.00097012,0.008090812165041256
4,5.0,30,true,0.2,32,6,3133.4919879122385,87.3204285659443,0.0009689335,0.012518249339970733
4,5.0,30,true,0.2,32,7,2881.823927701736,77.03908850321525,0.0009673217,0.002163869343120929
4,5.0,30,true,0.2,32,8,3313.2429768716365,99.5541928835596,0.000984994,0.019697794930642283
8,5.0,30,true,0.2,32,1,2504.899826323434,73.91855022839862,0.0010032548,0.0025448849607770394
8,5.0,30,true,0.2,32,2,3352.31337692041,152.40179830792866,0.000984546,0.0053903490674505825
8,5.0,30,true,0.2,32,3,4610.308908164653,193.4063357004272,0.0009822657,0.02985931804199781
8,5.0,30,true,0.2,32,4,3402.9247848856157,150.17864567397842,0.0009842956,0.013644144801280395
8,5.0,30,true,0.2,32,5,3527.7795756552055,139.99020238650925,0.0009824621,0.022317445300162587
8,5.0,30,true,0.2,32,6,3732.8187595389613,172.002569530758,0.0009822736,0.03160118277361414
8,5.0,30,true,0.2,32,7,3331.8066480953044,134.61888524954728,0.0009817214,0.0029986861153130555
8,5.0,30,true,0.2,32,8,3818.961729277647,167.34648854337613,0.0009842297,0.03631397658777041
2,10.0,30,true,0.2,32,1,2052.2968896544635,31.754429132729022,0.0009928528,0.0004476220806708342
2,10.0,30,true,0.2,32,2,3040.040036871551,64.2987459319,0.000980024,0.0017000238439545529
2,10.0,30,true,0.2,32,3,4009.058630075481,83.26622528640048,0.0009661598999999999,0.007340563700330689
2,10.0,30,true,0.2,32,4,3056.9127316900626,62.50727395567368,0.0009700739000000001,0.002368723769893468
2,10.0,30,true,0.2,32,5,3079.6407004763673,62.05821900329869,0.0009694814,0.0028459696140477253
2,10.0,30,true,0.2,32,6,3102.66688793057,66.97385002037552,0.0009735031,0.004195639036385779
2,10.0,30,true,0.2,32,7,2857.1470163757303,57.68124732124487,0.0009696809,0.0005634756943868673
2,10.0,30,true,0.2,32,8,3295.4755331861625,73.81287352714664,0.0009886734,0.009417823458540569
4,10.0,30,true,0.2,32,1,2170.472733889254,46.5063488795375,0.0009899244,0.000776775612616284
4,10.0,30,true,0.2,32,2,3209.307651909741,91.54854841869643,0.0009885234,0.0025887017799998157
4,10.0,30,true,0.2,32,3,4355.009822070989,129.09314608052844,0.0009909099,0.014083164219536691
4,10.0,30,true,0.2,32,4,3221.360669275686,90.63423626511941,0.0010074687,0.0046682867098553765
4,10.0,30,true,0.2,32,5,3270.1651139587543,97.85332421325323,0.0010273101,0.00685706416684933
4,10.0,30,true,0.2,32,6,3353.23805470657,100.35738869704956,0.0011041562,0.011314141542220778
4,10.0,30,true,0.2,32,7,3028.8858326667582,84.96967827924102,0.0010836266999999999,0.001062932342951174
4,10.0,30,true,0.2,32,8,3587.3873975509105,116.85882821364125,0.0010608943,0.018058153316505187
8,10.0,30,true,0.2,32,1,2597.1004376643996,78.80365414599339,0.0010999041,0.001197130014511263
8,10.0,30,true,0.2,32,2,3557.4071197849216,153.93800013298574,0.0011062886,0.0033846245454005565
8,10.0,30,true,0.2,32,3,5110.287782094996,225.55422342460065,0.001082055,0.027659396539635617
8,10.0,30,true,0.2,32,4,3656.320084971435,156.33039505333514,0.0011020272,0.01171962865367066
8,10.0,30,true,0.2,32,5,3824.9867845483677,166.9442364249395,0.0011066442999999998,0.020720611285606517
8,10.0,30,true,0.2,32,6,4088.198052896253,203.81524897822118,0.0010762767,0.030144613584477214
8,10.0,30,true,0.2,32,7,3505.8488406571223,142.09981668957167,0.0011106020999999998,0.0015430859189153095
8,10.0,30,true,0.2,32,8,4223.426174813249,190.0232360605122,0.0010981378,0.034097086440600596
